Name,Price,Image,Description,WhatsAppText,Category,Filters,Style,Tag
Azure Halo Drops,"9,800",assets/floaa-jew-pics/floaa-01.jpeg,Blue halo earrings for polished evening styling.,"Hi FLOAA, I want to order Azure Halo Drops.",earrings,"colour-stone,statement",occasion,Earrings
Heart Light Hoops,"7,200",assets/floaa-jew-pics/floaa-02.jpeg,Heart-cut drops that keep everyday dressing light and refined.,"Hi FLOAA, I want to order Heart Light Hoops.",earrings,minimal,everyday-wear,Earrings
Petal Grace Drops,"8,900",assets/floaa-jew-pics/floaa-03.jpeg,Soft floral movement with a crystal-forward finish.,"Hi FLOAA, I want to order Petal Grace Drops.",earrings,statement,occasion,Earrings
Carnival Cascade,"10,500",assets/floaa-jew-pics/floaa-04.jpeg,Multicolour chandelier earrings with a festive luxury mood.,"Hi FLOAA, I want to order Carnival Cascade.",earrings,"colour-stone,statement",colour-stone,Earrings
Layerline Pendant,"8,400",assets/floaa-jew-pics/floaa-08.jpeg,A simple pendant story for clean daily layering.,"Hi FLOAA, I want to order Layerline Pendant.",necklaces,pendants,everyday-wear,Necklace
Orbit Chain,"7,900",assets/floaa-jew-pics/floaa-15.jpeg,A delicate chain concept with a softer luxury silhouette.,"Hi FLOAA, I want to order Orbit Chain.",necklaces,chains,minimal,Necklace
Rose Layer Necklace,"9,300",assets/floaa-jew-pics/floaa-13.jpeg,Designed to sit seamlessly with other fine layers.,"Hi FLOAA, I want to order Rose Layer Necklace.",necklaces,layered,stackable-styles,Necklace
Emerald Pendant Line,"8,700",assets/floaa-jew-pics/floaa-10.jpeg,A gemstone-led pendant that softens into a layered look.,"Hi FLOAA, I want to order Emerald Pendant Line.",necklaces,"pendants,layered",colour-stone,Necklace
Lune Cuff,"6,800",assets/floaa-jew-pics/floaa-09.jpeg,A slim polished bracelet for clean daily styling.,"Hi FLOAA, I want to order Lune Cuff.",bracelets,minimal,everyday-wear,Bracelet
Stack Story Bracelet,"7,400",assets/floaa-jew-pics/floaa-12.jpeg,Built to layer with fine chains and gemstone pieces.,"Hi FLOAA, I want to order Stack Story Bracelet.",bracelets,stackable,stackable-styles,Bracelet
Golden Frame Bracelet,"8,100",assets/floaa-jew-pics/floaa-11.jpeg,Structured sparkle for dressier moments.,"Hi FLOAA, I want to order Golden Frame Bracelet.",bracelets,statement,occasion,Bracelet
Soft Prism Bracelet,"7,900",assets/floaa-jew-pics/floaa-14.jpeg,Colour-rich details balanced with a delicate shape.,"Hi FLOAA, I want to order Soft Prism Bracelet.",bracelets,"stackable,statement",colour-stone,Bracelet
Adjust Halo Ring,"5,900",assets/floaa-jew-pics/floaa-16.jpeg,An easy daily ring with a polished adaptable fit.,"Hi FLOAA, I want to order Adjust Halo Ring.",rings,adjustable,everyday-wear,Ring
Minimal Glow Ring,"5,600",assets/floaa-jew-pics/floaa-06.jpeg,A pared-back ring line for understated styling.,"Hi FLOAA, I want to order Minimal Glow Ring.",rings,minimal,minimal,Ring
Statement Bloom Ring,"7,800",assets/floaa-jew-pics/floaa-17.jpeg,A stronger stone presence for high-impact dressing.,"Hi FLOAA, I want to order Statement Bloom Ring.",rings,statement,occasion,Ring
Colour Stack Ring,"6,400",assets/floaa-jew-pics/floaa-07.jpeg,A modern ring concept designed to stack with ease.,"Hi FLOAA, I want to order Colour Stack Ring.",rings,"adjustable,statement",stackable-styles,Ring
